method,model_acc,model_acc_periodic,model_acc_drift,corrupted,exec,drift
KS,0.751999974,0.763999999,0.74000001,0.5,369,0
KS,0.758000016,0.805000007,0.745999992,0.5,409,1
KS,0.75,0.776000023,0.745999992,0.5,408,1
KS,0.899999976,0.878000021,0.839999974,0.1,453,0
KS,0.917999983,0.910000026,0.856999993,0.05,381,0
KS,0.878000021,0.882000029,0.822000027,0.1,378,0
KS,0.824999988,0.885999978,0.782999992,0.25,408,0
KS,0.730000019,0.827000022,0.726000011,0.5,396,1
KS,0.745000005,0.843999982,0.754000008,0.5,360,1
KS,0.759000003,0.856000006,0.779999971,0.5,390,1
,,,,,,
,0.801499999,0.842800009,0.779399997,,,